Vegetation Type,Sample Number,Sample Area (scar),LF24 model (scar),Raster code (scar),Reference Sample Area,LF24 model (ref),Raster code (ref)
Chaparral Shrubland,15,CentralCoast_50A010Y,SH1,141,Adjacent unburned 1 km buffer (>20 yr),SH5,145
Chaparral Shrubland,9870,CentralCoast_50A010Y,SH2,142,Adjacent unburned 1 km buffer (>20 yr),SH5,145
Chaparral Shrubland,164,CentralCoast_50A010Y,SH4,144,Adjacent unburned 1 km buffer (>20 yr),SH4,144
Chaparral Shrubland,489,CentralCoast_50A010Y,SH5,145,Adjacent unburned 1 km buffer (>20 yr),SH5,145
Grassland,1288,CentralCoast_50A010Y,GR1,101,Adjacent unburned 1 km buffer (>20 yr),GR2,102
Grassland,7323,CentralCoast_50A010Y,GR2,102,Adjacent unburned 1 km buffer (>20 yr),GR2,102
Grass–Shrub,1775,CentralCoast_50A010Y,GS1,121,Adjacent unburned 1 km buffer (>20 yr),GS2,122
Grass–Shrub,26400,CentralCoast_50A010Y,GS2,122,Adjacent unburned 1 km buffer (>20 yr),GS2,122
Grass–Shrub,904,CentralCoast_50A010Y,GS3,123,Adjacent unburned 1 km buffer (>20 yr),GS3,123
Nonburnable,2593,CentralCoast_50A010Y,NB1,91,Adjacent unburned 1 km buffer (>20 yr),NB1,91
Nonburnable,497,CentralCoast_50A010Y,NB9,99,Adjacent unburned 1 km buffer (>20 yr),NB9,99
Slash/Blowdown,14,CentralCoast_50A010Y,SB2,202,Adjacent unburned 1 km buffer (>20 yr),SB2,202
Timber Litter,12,CentralCoast_50A010Y,TL2,182,Adjacent unburned 1 km buffer (>20 yr),TL2,182
Timber Litter,1711,CentralCoast_50A010Y,TL3,183,Adjacent unburned 1 km buffer (>20 yr),TL3,183
Timber Litter,2519,CentralCoast_50A010Y,TL4,184,Adjacent unburned 1 km buffer (>20 yr),TL4,184
Timber Litter,15,CentralCoast_50A010Y,TL5,185,Adjacent unburned 1 km buffer (>20 yr),TL5,185
Timber Litter,2745,CentralCoast_50A010Y,TL6,186,Adjacent unburned 1 km buffer (>20 yr),TL6,186
Timber Litter,2,CentralCoast_50A010Y,TL8,188,Adjacent unburned 1 km buffer (>20 yr),TL8,188
Timber Litter,4,CentralCoast_50A010Y,TL9,189,Adjacent unburned 1 km buffer (>20 yr),TL9,189
Woodland (Drainages),91,CentralCoast_50A010Y,TU2,162,Adjacent unburned 1 km buffer (>20 yr),TU3,163
Woodland (Drainages),1,CentralCoast_50A010Y,TU3,163,Adjacent unburned 1 km buffer (>20 yr),TU3,163
Woodland (Drainages),7552,CentralCoast_50A010Y,TU5,165,Adjacent unburned 1 km buffer (>20 yr),TU5,165
